Date,Open,High,Low,Close,Adj Close,Volume
2016-06-06,76.449997,77.800003,76.050003,77.000000,77.000000,5897442
2016-06-07,77.500000,78.650002,76.300003,77.650002,77.650002,10613718
2016-06-08,77.750000,81.400002,77.400002,80.699997,80.699997,17047951
2016-06-09,81.199997,84.400002,80.949997,82.300003,82.300003,22320765
2016-06-10,82.300003,84.949997,81.949997,84.199997,84.199997,18694884
2016-06-13,82.550003,83.449997,81.750000,83.000000,83.000000,8970712
2016-06-14,84.500000,90.750000,84.500000,89.900002,89.900002,28103102
2016-06-15,91.150002,91.550003,89.500000,90.000000,90.000000,18835068
2016-06-16,89.500000,92.949997,88.599998,92.599998,92.599998,23936547
2016-06-17,93.599998,94.949997,93.050003,94.599998,94.599998,15970335
2016-06-20,92.400002,96.800003,92.000000,96.500000,96.500000,17693806
2016-06-21,97.000000,98.900002,96.599998,97.000000,97.000000,12387930
2016-06-22,96.900002,97.900002,96.000000,97.000000,97.000000,10891950
2016-06-23,98.000000,99.699997,98.000000,99.250000,99.250000,11372569
2016-06-24,95.800003,103.000000,93.550003,102.400002,102.400002,26994254
2016-06-27,103.750000,104.949997,102.900002,104.349998,104.349998,15188902
2016-06-28,104.900002,105.500000,103.300003,104.300003,104.300003,10418872
2016-06-29,105.199997,105.400002,104.050003,104.400002,104.400002,6618702
2016-06-30,105.500000,106.500000,104.650002,105.900002,105.900002,8714879
2016-07-01,106.099998,106.699997,104.849998,105.250000,105.250000,7061717
2016-07-04,106.199997,113.650002,105.599998,112.650002,112.650002,22334797
2016-07-05,113.000000,116.449997,112.550003,113.949997,113.949997,17612794
2016-07-07,117.000000,118.900002,116.400002,116.849998,116.849998,16287980
2016-07-08,117.900002,118.699997,114.000000,117.599998,117.599998,15826201
2016-07-11,121.000000,128.449997,119.900002,127.300003,127.300003,28664551
2016-07-12,128.449997,129.300003,124.400002,126.250000,126.250000,27472799
2016-07-13,126.900002,127.199997,123.550003,125.050003,125.050003,14121570
2016-07-14,124.199997,133.850006,124.099998,132.949997,132.949997,32394959
2016-07-15,134.000000,137.500000,133.699997,135.949997,135.949997,28503057
2016-07-18,137.199997,137.850006,131.500000,132.199997,132.199997,20155095
2016-07-19,132.000000,134.449997,128.750000,131.149994,131.149994,33819095
2016-07-20,131.500000,131.899994,128.550003,129.399994,129.399994,17487077
2016-07-21,129.000000,129.199997,122.500000,123.650002,123.650002,16629689
2016-07-22,122.800003,122.849998,119.400002,120.199997,120.199997,21835148
2016-07-25,119.449997,131.449997,119.150002,130.199997,130.199997,32101748
2016-07-26,131.699997,134.949997,128.800003,129.300003,129.300003,25554181
2016-07-27,130.000000,133.300003,128.600006,132.800003,132.800003,18362804
2016-07-28,133.250000,136.600006,128.500000,128.949997,128.949997,64858706
2016-07-29,128.500000,129.449997,122.900002,123.349998,123.349998,22168964
2016-08-01,125.500000,126.000000,120.000000,122.250000,122.250000,18871095
2016-08-02,122.500000,124.699997,120.449997,122.699997,122.699997,18591611
2016-08-03,122.599998,124.400002,120.750000,121.599998,121.599998,12484041
2016-08-04,123.000000,123.800003,120.599998,122.449997,122.449997,13542657
2016-08-05,123.900002,125.199997,122.050003,123.500000,123.500000,10784130
2016-08-08,124.250000,124.449997,121.449997,122.900002,122.900002,7678168
2016-08-09,123.000000,125.849998,122.050003,123.800003,123.800003,15356570
2016-08-10,123.849998,124.050003,119.250000,119.699997,119.699997,12995177
2016-08-11,119.000000,119.000000,114.599998,116.250000,116.250000,12331905
2016-08-12,115.550003,123.949997,115.349998,122.900002,122.900002,21812608
2016-08-16,123.800003,123.800003,121.099998,122.599998,122.599998,10314844
2016-08-17,122.449997,126.750000,122.349998,125.000000,125.000000,13020777
2016-08-18,126.050003,128.100006,125.699997,126.599998,126.599998,10505709
2016-08-19,127.650002,128.899994,126.599998,128.250000,128.250000,11746246
2016-08-22,128.000000,129.399994,126.349998,127.449997,127.449997,7084937
2016-08-23,127.400002,127.849998,125.050003,126.849998,126.849998,7811577
2016-08-24,128.000000,128.000000,125.650002,126.349998,126.349998,7590313
2016-08-25,126.449997,127.400002,125.099998,125.750000,125.750000,4990619
2016-08-26,125.750000,126.000000,122.300003,122.849998,122.849998,7612957
2016-08-29,122.800003,123.800003,121.699997,123.150002,123.150002,5588874
2016-08-30,123.900002,127.599998,123.500000,127.050003,127.050003,8091845
2016-08-31,127.400002,129.899994,126.699997,127.550003,127.550003,12256198
2016-09-01,127.250000,128.100006,125.000000,125.750000,125.750000,6989295
2016-09-02,126.050003,126.800003,124.300003,126.150002,126.150002,6841019
2016-09-06,127.349998,133.199997,127.300003,132.699997,132.699997,16168091
2016-09-07,134.000000,142.399994,134.000000,139.199997,139.199997,32963976
2016-09-08,140.000000,143.699997,139.699997,142.600006,142.600006,15259938
2016-09-09,142.649994,145.800003,140.250000,144.850006,144.850006,21172922
2016-09-12,139.699997,142.649994,135.750000,137.199997,137.199997,16293600
2016-09-14,138.100006,142.399994,137.800003,141.899994,141.899994,11923165
2016-09-15,142.550003,143.199997,137.250000,138.750000,138.750000,11864416
2016-09-16,140.949997,143.399994,137.250000,137.850006,137.850006,14310678
2016-09-19,138.699997,140.250000,137.699997,138.399994,138.399994,6831658
2016-09-20,138.399994,138.899994,136.850006,137.500000,137.500000,6289148
2016-09-21,138.000000,138.899994,135.250000,135.750000,135.750000,8304597
2016-09-22,141.000000,141.649994,137.649994,141.149994,141.149994,10960659
2016-09-23,141.399994,141.850006,139.000000,139.300003,139.300003,8968324
2016-09-26,137.500000,141.500000,137.500000,140.149994,140.149994,10127982
2016-09-27,141.100006,141.899994,138.750000,139.699997,139.699997,8289234
2016-09-28,139.449997,147.199997,139.100006,146.500000,146.500000,21069168
2016-09-29,148.000000,150.550003,131.850006,136.600006,136.600006,34985624
2016-09-30,137.000000,141.949997,136.500000,140.699997,140.699997,15959086
2016-10-03,143.199997,144.250000,142.000000,143.350006,143.350006,12933258
2016-10-04,144.000000,147.149994,141.350006,145.699997,145.699997,27243314
2016-10-05,147.199997,147.899994,143.500000,144.300003,144.300003,14790271
2016-10-06,144.699997,145.100006,140.500000,141.949997,141.949997,12147845
2016-10-07,141.899994,144.500000,140.600006,143.600006,143.600006,11947869
2016-10-10,144.899994,146.100006,143.300003,144.449997,144.449997,7198394
2016-10-13,143.000000,144.000000,135.750000,137.949997,137.949997,11908050
2016-10-14,138.850006,141.199997,138.300003,138.949997,138.949997,11186258
2016-10-17,139.500000,141.449997,135.600006,136.649994,136.649994,11933751
2016-10-18,139.550003,141.300003,137.300003,140.800003,140.800003,10742701
2016-10-19,142.000000,142.250000,139.750000,140.899994,140.899994,7757181
2016-10-20,141.899994,146.350006,141.149994,145.850006,145.850006,12951807
2016-10-21,146.399994,147.949997,143.000000,147.550003,147.550003,11120267
2016-10-24,148.149994,148.699997,145.699997,147.050003,147.050003,10264829
2016-10-25,147.699997,148.449997,145.949997,146.300003,146.300003,5409087
2016-10-26,145.699997,147.500000,143.250000,144.000000,144.000000,7700465
2016-10-27,144.000000,144.750000,141.149994,141.800003,141.800003,7229997
2016-10-28,141.899994,144.550003,141.649994,143.949997,143.949997,6544009
2016-11-01,144.699997,145.699997,143.300003,143.899994,143.899994,4844200
2016-11-02,141.699997,141.850006,136.199997,136.699997,136.699997,10367286
2016-11-03,136.750000,138.250000,132.500000,133.149994,133.149994,8462202
2016-11-04,132.949997,133.100006,128.699997,131.649994,131.649994,10318429
2016-11-07,139.100006,141.250000,136.300003,140.449997,140.449997,18907953
2016-11-08,139.949997,141.199997,138.149994,140.600006,140.600006,9438660
2016-11-09,129.000000,144.500000,127.050003,142.199997,142.199997,18051951
2016-11-10,147.000000,161.399994,145.899994,159.300003,159.300003,37273635
2016-11-11,157.449997,164.350006,154.350006,155.699997,155.699997,27229891
2016-11-15,157.000000,161.250000,151.300003,154.699997,154.699997,20356688
2016-11-16,158.500000,159.050003,147.750000,148.800003,148.800003,17007653
2016-11-17,149.649994,152.649994,146.500000,147.600006,147.600006,14077616
2016-11-18,148.699997,152.250000,146.250000,149.750000,149.750000,15123798
2016-11-21,150.949997,151.199997,135.149994,136.449997,136.449997,19917880
2016-11-22,138.750000,139.800003,133.800003,137.399994,137.399994,17367369
2016-11-23,138.500000,139.449997,135.899994,137.500000,137.500000,9296620
2016-11-24,135.800003,139.100006,135.000000,137.850006,137.850006,11254248
2016-11-25,139.199997,141.699997,138.500000,140.300003,140.300003,9294203
2016-11-28,134.699997,139.800003,133.550003,137.100006,137.100006,11349555
2016-11-29,137.000000,138.850006,135.350006,136.100006,136.100006,7979580
2016-11-30,136.800003,138.600006,135.399994,138.149994,138.149994,9497325
2016-12-01,138.949997,139.500000,135.699997,136.350006,136.350006,6752406
2016-12-02,135.399994,137.750000,132.899994,134.000000,134.000000,11985518
2016-12-05,133.500000,136.000000,133.000000,135.649994,135.649994,6543450
2016-12-06,136.949997,136.949997,133.750000,134.050003,134.050003,8168652
2016-12-07,134.899994,136.000000,128.649994,131.399994,131.399994,10675568
2016-12-08,132.500000,134.300003,132.199997,133.100006,133.100006,5657612
2016-12-09,133.949997,136.100006,132.500000,135.199997,135.199997,7767465
2016-12-12,135.000000,135.050003,130.350006,130.850006,130.850006,7027428
2016-12-13,130.850006,131.300003,127.849998,129.399994,129.399994,9389839
2016-12-14,129.750000,130.100006,126.699997,127.099998,127.099998,5545921
2016-12-15,125.500000,128.449997,124.699997,126.300003,126.300003,8959317
2016-12-16,126.500000,127.349998,124.599998,125.250000,125.250000,5403339
2016-12-19,125.099998,125.500000,123.550003,124.349998,124.349998,5083897
2016-12-20,124.900002,125.199997,120.800003,121.449997,121.449997,6513285
2016-12-21,121.699997,122.349998,119.849998,120.550003,120.550003,6777947
2016-12-22,120.000000,120.349998,118.000000,119.400002,119.400002,6499471
2016-12-23,119.449997,121.500000,119.099998,120.000000,120.000000,6720177
2016-12-26,119.500000,119.500000,114.000000,115.050003,115.050003,6426119
2016-12-27,114.599998,116.750000,112.650002,116.000000,116.000000,8762885
2016-12-28,116.800003,117.400002,113.599998,113.949997,113.949997,8946526
2016-12-29,113.449997,115.000000,112.000000,113.150002,113.150002,14396639
2016-12-30,113.000000,116.099998,112.550003,115.449997,115.449997,9685951
2017-01-02,117.000000,117.550003,113.199997,115.599998,115.599998,9784247
2017-01-03,115.449997,118.650002,114.300003,118.050003,118.050003,10254310
2017-01-04,118.400002,118.900002,114.849998,115.250000,115.250000,8678158
2017-01-05,116.650002,118.000000,116.199997,117.650002,117.650002,6286481
2017-01-06,118.150002,121.349998,117.750000,119.050003,119.050003,11922173
2017-01-09,119.750000,120.949997,119.349998,119.750000,119.750000,6694500
2017-01-10,120.949997,121.099998,118.300003,119.400002,119.400002,6545625
2017-01-11,120.599998,124.900002,120.150002,123.599998,123.599998,15259256
2017-01-12,124.250000,126.400002,124.000000,126.000000,126.000000,16048380
2017-01-13,126.000000,126.500000,123.599998,125.099998,125.099998,6583850
